Price,BBCA_Close,BBCA_High,BBCA_Low,BBCA_Open,BBCA_Volume,BBRI_Close,BBRI_High,BBRI_Low,BBRI_Open,BBRI_Volume,BMRI_Close,BMRI_High,BMRI_Low,BMRI_Open,BMRI_Volume,BBNI_Close,BBNI_High,BBNI_Low,BBNI_Open,BBNI_Volume,BBTN_Close,BBTN_High,BBTN_Low,BBTN_Open,BBTN_Volume
Ticker,BBCA_BBCA.JK,BBCA_BBCA.JK,BBCA_BBCA.JK,BBCA_BBCA.JK,BBCA_BBCA.JK,BBRI_BBRI.JK,BBRI_BBRI.JK,BBRI_BBRI.JK,BBRI_BBRI.JK,BBRI_BBRI.JK,BMRI_BMRI.JK,BMRI_BMRI.JK,BMRI_BMRI.JK,BMRI_BMRI.JK,BMRI_BMRI.JK,BBNI_BBNI.JK,BBNI_BBNI.JK,BBNI_BBNI.JK,BBNI_BBNI.JK,BBNI_BBNI.JK,BBTN_BBTN.JK,BBTN_BBTN.JK,BBTN_BBTN.JK,BBTN_BBTN.JK,BBTN_BBTN.JK
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-02,8522.4228515625,8545.900600464876,8334.600860343491,8358.078609245867,93663000,4558.3603515625,4601.773307291667,4558.3603515625,4558.3603515625,81674600,5229.52734375,5272.7465779958675,5207.917726627065,5207.917726627065,33296500,4511.0400390625,4598.633049529733,4511.0400390625,4521.989165370905,52562400,1124.348388671875,1128.8820515294228,1106.2137372416835,1106.2137372416835,12355800
2023-10-03,8639.810546875,8639.810546875,8475.466324515965,8522.421816618546,98380200,4580.06689453125,4601.773372704384,4558.360416358116,4558.360416358116,54462700,5251.13720703125,5251.13720703125,5186.308352623457,5186.308352623457,37093100,4565.78564453125,4576.734770777129,4521.989139547737,4532.938265793615,49593400,1142.4830322265625,1147.0166950528583,1119.814718095083,1128.8820437476747,23001400
2023-10-04,8639.810546875,8686.766038977581,8569.377308721127,8639.810546875,112582800,4558.3603515625,4580.066829427084,4514.947395833334,4558.3603515625,121445000,5294.3564453125,5294.3564453125,5164.698736447704,5251.137209024235,69154000,4543.88720703125,4587.683710231551,4489.1415780308735,4576.734584431476,57958800,1133.4156494140625,1147.0166372070312,1119.8146616210938,1147.0166372070312,24373900
2023-10-05,8522.4228515625,8639.81159607438,8522.4228515625,8639.81159607438,72855700,4493.240234375,4580.066132623792,4493.240234375,4558.359658061594,116814800,5294.3564453125,5359.185299744898,5272.746827168367,5315.966063456633,69566800,4543.88720703125,4554.836332831325,4532.938081231175,4554.836332831325,69727000,1128.8819580078125,1142.4829454536898,1124.3482955258535,1133.4156204897715,11212000
2023-10-06,8475.4677734375,8545.901023632272,8475.4677734375,8545.901023632272,53344400,4493.240234375,4558.359658061594,4493.240234375,4514.946708937197,70202300,5207.91748046875,5315.9655609764,5207.91748046875,5315.9655609764,25913600,4554.83642578125,4576.734677828275,4532.938173734225,4576.734677828275,41840100,1137.9493408203125,1147.0166662451754,1128.8820153954493,1133.415678107881,11251100
2023-10-09,8498.9443359375,8569.377576290573,8475.466589153142,8475.466589153142,43774500,4449.8271484375,4536.653044016769,4449.8271484375,4514.9465701219515,144477000,5099.86962890625,5229.52733133607,5099.86962890625,5207.917714264433,45321700,4467.24365234375,4554.836665134804,4423.447145948223,4554.836665134804,55808900,1137.9493408203125,1147.0166662451754,1128.8820153954493,1137.9493408203125,9371200
2023-10-10,8381.5556640625,8451.988904936974,8381.5556640625,8451.988904936974,71966100,4493.240234375,4558.359658061594,4449.827285250603,4449.827285250603,98457000,5186.30859375,5251.137451171875,5099.8701171875,5099.8701171875,42820800,4554.83642578125,4554.83642578125,4511.039921687199,4532.938173734225,27090900,1133.4156494140625,1142.482974609375,1128.8819868164062,1137.9493120117188,8401500
2023-10-11,8381.5556640625,8475.466651895133,8381.5556640625,8381.5556640625,84305800,4558.3603515625,4580.066829427084,4471.534440104167,4471.534440104167,100394800,5229.52734375,5337.575429364669,5143.088875258264,5143.088875258264,72955000,4532.9384765625,4554.836730072464,4511.040223052536,4554.836730072464,63713600,1124.348388671875,1137.9493772445187,1124.348388671875,1133.4157143869709,6198500
