Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
1/4/2021,6028.375,6046.014722,5926.946598,5997.505486,47937000
1/5/2021,6253.281738,6253.281738,6041.605064,6050.424926,104831000
1/6/2021,6125.393066,6240.051252,6068.063974,6218.001601,89753500
1/7/2021,6143.032715,6218.001528,6094.523483,6173.902226,71360000
1/8/2021,6218.001953,6244.461536,6151.852996,6204.772162,75033500
1/11/2021,6478.187012,6491.416801,6301.789816,6306.199746,169034500
1/12/2021,6315.019531,6509.056444,6315.019531,6478.186935,95235000
1/13/2021,6279.741211,6416.44906,6235.641905,6389.989477,76581500
1/14/2021,6191.541992,6253.281015,6169.492341,6218.001573,89319500
1/15/2021,6134.212402,6262.100368,6032.784016,6257.690438,89853500
1/18/2021,6279.741211,6284.151142,6037.195027,6134.2135,86343000
1/19/2021,6257.69043,6279.740079,6178.311693,6279.740079,73777000
1/20/2021,6257.69043,6434.087623,6235.640781,6319.429447,107216000
1/21/2021,6240.051758,6438.498634,6226.821966,6420.858911,66428000
1/22/2021,6244.461914,6315.020806,6240.051983,6240.051983,80829000
1/25/2021,6204.771973,6350.299674,6173.90246,6350.299674,76836500
1/26/2021,6015.144531,6173.902012,6015.144531,6134.212641,98658000
1/27/2021,5988.685059,6112.163101,5913.716247,6015.144639,97920000
1/28/2021,6085.704102,6107.753754,5988.68563,5988.68563,104627000
1/29/2021,5962.225586,6173.902234,5962.225586,6085.703631,132762500
2/1/2021,6015.144531,6103.343131,5816.697681,5962.225371,113129000
2/2/2021,5997.505859,6156.263367,5997.505859,6143.033575,86741000
2/3/2021,6019.554688,6173.902244,6019.554688,6173.902244,67291000
2/4/2021,6046.013672,6173.901634,6028.373953,6103.342758,80950500
2/5/2021,6098.933594,6129.803106,6046.01443,6059.244221,51602000
2/8/2021,6103.343262,6222.411374,6068.063821,6218.001444,45604000
2/9/2021,6156.263672,6200.362982,6134.214017,6173.903396,75574000
2/10/2021,6103.343262,6218.001444,6085.703541,6218.001444,44984500
2/11/2021,6068.064453,6160.672995,6032.785009,6160.672995,36926000
2/15/2021,5997.505859,6076.884613,5926.946967,6023.965444,83922000
2/16/2021,6120.983398,6125.393329,6023.96493,6068.064234,47221000
2/17/2021,6085.704102,6138.623268,6041.604796,6076.884241,66011500
2/18/2021,5940.17627,6085.703973,5940.17627,6041.604669,91204000
2/19/2021,6019.554688,6041.604338,5962.225595,5979.865316,70487500
2/22/2021,5988.685059,6120.982961,5988.685059,6085.703521,68913000
2/23/2021,6019.554688,6037.194408,5975.455386,6015.144757,58360000
2/24/2021,5931.355469,6028.373923,5931.355469,6019.554063,71869000
2/25/2021,5913.716309,5971.0454,5891.666658,5944.58582,78688000
2/26/2021,5918.126465,6006.325071,5860.797371,5913.716535,173631500
3/1/2021,6213.591309,6213.591309,5997.504741,6023.96432,205539000
3/2/2021,6187.132813,6315.020804,6173.90302,6279.741358,81446500
3/3/2021,6173.902832,6248.871652,6173.902832,6231.23193,84470000
3/4/2021,5926.945313,6173.901367,5926.945313,6090.112706,120802500
3/5/2021,5997.505859,6107.754129,5926.946967,5926.946967,111871500
3/8/2021,5926.945313,6129.802072,5926.945313,6129.802072,90883000
3/9/2021,5825.518066,5922.536535,5821.108136,5909.306744,135582000
3/10/2021,5913.716309,5926.946099,5838.747496,5926.946099,50302000
3/12/2021,5966.63623,6068.064636,5922.536924,6063.654706,74328000
3/15/2021,5878.437012,6015.144849,5878.437012,6010.734919,57416000
3/16/2021,5843.157227,5918.126036,5838.747297,5918.126036,70755500
3/17/2021,5829.928223,5878.437459,5825.518292,5865.207667,71474500
3/18/2021,5913.716309,5926.946099,5829.927636,5838.747496,70067500
3/19/2021,5962.225586,5971.045446,5843.157471,5971.045446,125853000
3/22/2021,5838.74707,5891.666228,5829.927211,5856.38679,67523500
3/23/2021,5790.23877,5926.946616,5781.418908,5926.946616,127762500
3/24/2021,5679.989746,5777.008204,5662.350026,5746.138695,152050000
3/25/2021,5618.250977,5679.989998,5582.971536,5644.710557,119101500
3/26/2021,5657.940918,5684.400501,5556.512515,5618.251543,134467500
3/29/2021,5609.431152,5746.138987,5609.431152,5653.530454,113370500
3/30/2021,5640.30127,5693.220437,5618.251616,5618.251616,83115500
3/31/2021,5481.542969,5640.300448,5419.803949,5635.890518,223390500
4/1/2021,5490.36377,5530.053146,5428.624739,5481.543908,112286000
4/5/2021,5428.624023,5547.692138,5428.624023,5512.412696,73311500
4/6/2021,5437.443359,5441.853289,5362.474554,5410.983781,80215000
