Date,Country,Oil_Export_Volume_MBD,Stock_Market_Index,Cumulative_GDP_Loss_Billions,Risk_Rating
2026-02-28,Iran,3.47,1499030,0.48,Extreme
2026-03-01,Iran,3.46,1493938,0.48,Extreme
2026-03-02,Iran,3.43,1484019,0.48,Extreme
2026-03-03,Iran,3.43,1462199,0.68,Extreme
2026-03-04,Iran,3.42,1454081,0.68,Extreme
2026-03-05,Iran,3.42,1437495,0.68,Extreme
2026-03-06,Iran,3.38,1412324,1.19,Extreme
2026-03-07,Iran,3.36,1414359,1.19,Extreme
2026-03-08,Iran,3.1,1425535,1.19,Extreme
2026-03-09,Iran,2.99,1377916,2.05,Extreme
2026-03-10,Iran,2.93,1341678,2.05,Extreme
2026-03-11,Iran,2.7,1312956,2.05,Extreme
2026-03-12,Iran,2.43,1286456,2.5,Extreme
2026-03-13,Iran,2.23,1277161,2.5,Extreme
2026-03-14,Iran,2.03,1256522,2.5,Extreme
2026-03-15,Iran,1.93,1248982,2.59,Extreme
2026-03-16,Iran,1.81,1260732,2.59,Extreme
2026-03-17,Iran,1.69,1214768,2.59,Extreme
2026-03-18,Iran,1.61,1172398,3.04,Extreme
2026-03-19,Iran,1.4,1170065,3.04,Critical
2026-03-20,Iran,1.23,1186996,3.04,Critical
2026-03-21,Iran,1.16,1116531,4.33,Critical
2026-03-22,Iran,1.08,1102134,4.33,Critical
2026-03-23,Iran,1.02,1092758,4.33,Critical
2026-03-24,Iran,0.88,1035426,5.81,Critical
2026-03-25,Iran,0.8,1048103,5.81,Critical
2026-03-26,Iran,0.73,1006989,5.81,Critical
2026-03-27,Iran,0.7,991885,7.02,Critical
2026-03-28,Iran,0.63,995447,7.02,Critical
2026-03-29,Iran,0.54,967351,7.02,Critical
2026-03-30,Iran,0.49,918552,7.31,Critical
2026-03-31,Iran,0.42,890526,7.31,Critical
2026-04-01,Iran,0.39,872175,7.31,Critical
2026-04-02,Iran,0.35,888474,9.72,Critical
2026-04-03,Iran,0.34,867895,9.72,Critical
2026-04-04,Iran,0.31,864660,9.72,Critical
2026-04-05,Iran,0.26,796931,10.04,Critical
2026-04-06,Iran,0.23,737995,10.04,Critical
2026-02-28,Saudi Arabia,10.5,11948,0.26,Extreme
2026-03-01,Saudi Arabia,10.54,11734,0.26,Extreme
2026-03-02,Saudi Arabia,10.57,11580,0.26,Extreme
2026-03-03,Saudi Arabia,10.57,11408,0.65,Extreme
2026-03-04,Saudi Arabia,10.55,11360,0.65,Extreme
2026-03-05,Saudi Arabia,10.59,11152,0.65,Extreme
2026-03-06,Saudi Arabia,10.63,11165,0.71,Extreme
2026-03-07,Saudi Arabia,10.62,11068,0.71,Extreme
2026-03-08,Saudi Arabia,9.83,11036,0.71,Extreme
2026-03-09,Saudi Arabia,8.95,10985,1.4,Extreme
2026-03-10,Saudi Arabia,8.76,10833,1.4,Extreme
2026-03-11,Saudi Arabia,8.16,10490,1.4,Extreme
2026-03-12,Saudi Arabia,7.94,10211,2.25,Extreme
2026-03-13,Saudi Arabia,7.19,10215,2.25,Extreme
2026-03-14,Saudi Arabia,6.73,10170,2.25,Extreme
2026-03-15,Saudi Arabia,6.18,9995,2.64,Extreme
2026-03-16,Saudi Arabia,5.83,9779,2.64,Extreme
2026-03-17,Saudi Arabia,5.47,9668,2.64,Extreme
2026-03-18,Saudi Arabia,5.01,9527,2.74,Extreme
2026-03-19,Saudi Arabia,4.37,9293,2.74,Critical
2026-03-20,Saudi Arabia,3.98,9384,2.74,Critical
2026-03-21,Saudi Arabia,3.52,9465,3.83,Critical
2026-03-22,Saudi Arabia,3.23,9192,3.83,Critical
2026-03-23,Saudi Arabia,2.86,8694,3.83,Critical
2026-03-24,Saudi Arabia,2.65,8761,4.16,Critical
2026-03-25,Saudi Arabia,2.4,8862,4.16,Critical
2026-03-26,Saudi Arabia,2.29,8518,4.16,Critical
2026-03-27,Saudi Arabia,2.01,8360,4.26,Critical
2026-03-28,Saudi Arabia,1.89,8049,4.26,Critical
2026-03-29,Saudi Arabia,1.66,7881,4.26,Critical
2026-03-30,Saudi Arabia,1.49,7405,6.0,Critical
2026-03-31,Saudi Arabia,1.27,6817,6.0,Critical
2026-04-01,Saudi Arabia,1.13,6508,6.0,Critical
2026-04-02,Saudi Arabia,0.97,6606,6.12,Critical
2026-04-03,Saudi Arabia,0.86,6558,6.12,Critical
2026-04-04,Saudi Arabia,0.81,6190,6.12,Critical
2026-04-05,Saudi Arabia,0.71,6312,7.53,Critical
2026-04-06,Saudi Arabia,0.68,6373,7.53,Critical
2026-02-28,United Arab Emirates,3.21,3957,0.47,Extreme
2026-03-01,United Arab Emirates,3.19,3891,0.47,Extreme
2026-03-02,United Arab Emirates,3.16,3868,0.47,Extreme
2026-03-03,United Arab Emirates,3.19,3814,0.62,Extreme
2026-03-04,United Arab Emirates,3.21,3804,0.62,Extreme
2026-03-05,United Arab Emirates,3.2,3754,0.62,Extreme
2026-03-06,United Arab Emirates,3.18,3752,0.91,Extreme
2026-03-07,United Arab Emirates,3.16,3721,0.91,Extreme
2026-03-08,United Arab Emirates,2.99,3751,0.91,Extreme
2026-03-09,United Arab Emirates,2.84,3651,1.08,Extreme
2026-03-10,United Arab Emirates,2.75,3656,1.08,Extreme
2026-03-11,United Arab Emirates,2.5,3662,1.08,Extreme
2026-03-12,United Arab Emirates,2.34,3561,1.46,Extreme
2026-03-13,United Arab Emirates,2.21,3465,1.46,Extreme
2026-03-14,United Arab Emirates,1.97,3397,1.46,Extreme
2026-03-15,United Arab Emirates,1.88,3303,1.93,Extreme
2026-03-16,United Arab Emirates,1.7,3173,1.93,Extreme
2026-03-17,United Arab Emirates,1.6,3067,1.93,Extreme
2026-03-18,United Arab Emirates,1.47,3041,2.57,Extreme
2026-03-19,United Arab Emirates,1.32,3044,2.57,Critical
2026-03-20,United Arab Emirates,1.24,3067,2.57,Critical
